timestamp,nation,unit_id,action_type,from_q,from_r,to_q,to_r,reason
2025-08-26T21:13:58.593944,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-26T21:13:58.672216,Polska,AL_Kompania__2_Dywizjon_Artylerii,progressive_move,6,9,12,3,"Strategic move to (43, -14)"
2025-08-26T21:13:58.673214,Polska,AL_Kompania__2_Dywizjon_Artylerii,advanced_autonomous,6,9,43,-14,Advanced auto mode: group 1 to keypoint
2025-08-26T21:13:58.686256,Polska,P_Pluton__2_Batalion_Strzelc_w,progressive_move,9,-4,12,-6,"Strategic move to (43, -14)"
2025-08-26T21:13:58.686256,Polska,P_Pluton__2_Batalion_Strzelc_w,advanced_autonomous,9,-4,43,-14,Advanced auto mode: group 1 to keypoint
2025-08-26T21:13:58.703046,Polska,TL_Pluton__2_Pluton_Tankietek_20250703213014,progressive_move,16,0,21,-4,"Strategic move to (43, -14)"
2025-08-26T21:13:58.703046,Polska,TL_Pluton__2_Pluton_Tankietek_20250703213014,advanced_autonomous,16,0,43,-14,Advanced auto mode: group 1 to keypoint
2025-08-26T21:13:58.716978,Polska,P_Pluton__2_Pu_k_Piechoty_20250703213008,progressive_move,18,-2,22,-6,"Strategic move to (43, -14)"
2025-08-26T21:13:58.717995,Polska,P_Pluton__2_Pu_k_Piechoty_20250703213008,advanced_autonomous,18,-2,43,-14,Advanced auto mode: group 1 to keypoint
2025-08-26T21:13:58.728637,Polska,P_Kompania__2_Batalion_Strzelc_w,progressive_move,20,-8,24,-12,"Strategic move to (43, -14)"
2025-08-26T21:13:58.729640,Polska,P_Kompania__2_Batalion_Strzelc_w,advanced_autonomous,20,-8,43,-14,Advanced auto mode: group 1 to keypoint
2025-08-26T21:13:58.740350,Polska,P_Pluton__2_Pu_k_Piechoty,progressive_move,21,3,25,-1,"Strategic move to (51, -12)"
2025-08-26T21:13:58.740350,Polska,P_Pluton__2_Pu_k_Piechoty,advanced_autonomous,21,3,51,-12,Advanced auto mode: group 2 to keypoint
2025-08-26T21:13:58.830337,Polska,AL_Batalion__2_Pu_k_Artylerii,progressive_move,8,-3,13,-3,"Strategic move to (51, -12)"
2025-08-26T21:13:58.831663,Polska,AL_Batalion__2_Pu_k_Artylerii,advanced_autonomous,8,-3,51,-12,Advanced auto mode: group 2 to keypoint
2025-08-26T21:13:58.856599,Polska,TL_Pluton__2_Pluton_Tankietek,progressive_move,9,-3,8,-3,"Strategic move to (51, -12)"
2025-08-26T21:13:58.856599,Polska,TL_Pluton__2_Pluton_Tankietek,advanced_autonomous,9,-3,51,-12,Advanced auto mode: group 2 to keypoint
2025-08-26T21:13:58.867362,Polska,P_Kompania__2_Pu_k_Piechoty,progressive_move,11,-1,15,-4,"Strategic move to (51, -12)"
2025-08-26T21:13:58.867362,Polska,P_Kompania__2_Pu_k_Piechoty,advanced_autonomous,11,-1,51,-12,Advanced auto mode: group 2 to keypoint
2025-08-26T21:13:58.884207,Polska,P_Batalion__2_Kompania_Grenadier_w_20250703213005,progressive_move,20,3,24,-1,"Strategic move to (51, -12)"
2025-08-26T21:13:58.884207,Polska,P_Batalion__2_Kompania_Grenadier_w_20250703213005,advanced_autonomous,20,3,51,-12,Advanced auto mode: group 2 to keypoint
2025-08-26T21:13:58.913655,Polska,AL_Pluton__2_Bateria_Artylerii,progressive_move,17,-1,23,-6,"Strategic move to (51, -13)"
2025-08-26T21:13:58.913655,Polska,AL_Pluton__2_Bateria_Artylerii,advanced_autonomous,17,-1,51,-13,Advanced auto mode: group 3 to keypoint
2025-08-26T21:13:58.929309,Polska,P_Batalion__2_Pu_k_Piechoty,progressive_move,23,-3,27,-6,"Strategic move to (51, -13)"
2025-08-26T21:13:58.930318,Polska,P_Batalion__2_Pu_k_Piechoty,advanced_autonomous,23,-3,51,-13,Advanced auto mode: group 3 to keypoint
2025-08-26T21:13:58.945162,Polska,TL_Kompania__2_Pluton_Tankietek,progressive_move,23,-7,27,-11,"Strategic move to (51, -13)"
2025-08-26T21:13:58.946174,Polska,TL_Kompania__2_Pluton_Tankietek,advanced_autonomous,23,-7,51,-13,Advanced auto mode: group 3 to keypoint
2025-08-26T21:13:58.971168,Polska,P_Batalion__2_Batalion_Strzelc_w,progressive_move,24,-8,30,-15,"Strategic move to (51, -13)"
2025-08-26T21:13:58.971168,Polska,P_Batalion__2_Batalion_Strzelc_w,advanced_autonomous,24,-8,51,-13,Advanced auto mode: group 3 to keypoint
2025-08-26T21:13:58.986324,Polska,P_Kompania__2_Batalion_Strzelc_w_20250703213012,progressive_move,23,-8,27,-12,"Strategic move to (51, -13)"
